accuracy,precision,recall,f1,auc,fnr,cm,loss,encoder,fold,seed,mode,best_epoch,betas,fpr,auprc,balanced_acc,specificity,mcc
0.85,0.888888889,0.8,0.842105263,0.880657439,0.2,"[[153, 17], [34, 136]]",22.12314701,PDE,3,42,within,32,"{'b1': 0.8885678052902222, 'b2': 1.0181831121444702, 'b3': 1.0216453075408936}",,,,,
0.855882353,0.875776398,0.829411765,0.851963746,0.873131488,0.170588235,"[[150, 20], [29, 141]]",23.01926327,PDE,3,123,within,43,"{'b1': 0.8880026340484619, 'b2': 1.0208475589752197, 'b3': 1.0105656385421753}",,,,,
0.861764706,0.93006993,0.782352941,0.849840256,0.893598616,0.217647059,"[[160, 10], [37, 133]]",21.81983185,PDE,3,456,within,20,"{'b1': 0.8782224655151367, 'b2': 1.0144139528274536, 'b3': 1.025521159172058}",,,,,
0.897058824,0.919254658,0.870588235,0.894259819,0.917612457,0.129411765,"[[157, 13], [22, 148]]",18.43178558,PDE,4,42,within,36,"{'b1': 0.8879173398017883, 'b2': 1.021526575088501, 'b3': 1.0211389064788818}",,,,,
0.897058824,0.941176471,0.847058824,0.891640867,0.927595156,0.152941176,"[[161, 9], [26, 144]]",17.63351536,PDE,4,123,within,31,"{'b1': 0.8905579447746277, 'b2': 1.0197443962097168, 'b3': 1.0106130838394165}",,,,,
0.905882353,0.96,0.847058824,0.9,0.940155709,0.152941176,"[[164, 6], [26, 144]]",16.50488758,PDE,4,456,within,25,"{'b1': 0.8725502490997314, 'b2': 1.020174264907837, 'b3': 1.0261938571929932}",,,,,
0.894117647,0.946666667,0.835294118,0.8875,0.930709343,0.164705882,"[[162, 8], [28, 142]]",18.70681,ATDE,0,42,within,25,"{'b1': 0.899463951587677, 'b2': 0.9590054750442505, 'b3': 1.0318028926849365}",,,,,
0.867647059,0.943262411,0.782352941,0.855305466,0.907889273,0.217647059,"[[162, 8], [37, 133]]",19.83253384,ATDE,0,123,within,32,"{'b1': 0.9008702635765076, 'b2': 0.9983704090118408, 'b3': 1.014325499534607}",,,,,
0.902941176,0.972413793,0.829411765,0.895238095,0.93083045,0.170588235,"[[166, 4], [29, 141]]",20.06998634,ATDE,0,456,within,17,"{'b1': 0.8908076286315918, 'b2': 0.9640069603919983, 'b3': 1.0204370021820068}",,,,,
0.876470588,0.926666667,0.817647059,0.86875,0.90716263,0.182352941,"[[159, 11], [31, 139]]",17.94693089,ATDE,1,42,within,29,"{'b1': 0.8986292481422424, 'b2': 0.9533414244651794, 'b3': 1.0340279340744019}",,,,,
0.867647059,0.913907285,0.811764706,0.859813084,0.902906574,0.188235294,"[[157, 13], [32, 138]]",19.0229578,ATDE,1,123,within,39,"{'b1': 0.8970907926559448, 'b2': 1.0038834810256958, 'b3': 1.0158499479293823}",,,,,
0.855882353,0.837988827,0.882352941,0.859598854,0.932681661,0.117647059,"[[141, 29], [20, 150]]",38.93394852,ATDE,1,456,within,11,"{'b1': 0.8862996697425842, 'b2': 0.9435797929763794, 'b3': 0.9704764485359192}",,,,,
0.908823529,0.960264901,0.852941176,0.903426791,0.94032872,0.147058824,"[[164, 6], [25, 145]]",15.66934729,ATDE,2,42,within,20,"{'b1': 0.8943132162094116, 'b2': 0.9467231631278992, 'b3': 1.0246644020080566}",,,,,
0.873529412,0.984732824,0.758823529,0.857142857,0.953650519,0.241176471,"[[168, 2], [41, 129]]",34.59075737,ATDE,2,123,within,13,"{'b1': 0.8882541060447693, 'b2': 0.9323387742042542, 'b3': 1.0103023052215576}",,,,,
0.902941176,0.953642384,0.847058824,0.897196262,0.938979239,0.152941176,"[[163, 7], [26, 144]]",14.20590639,ATDE,2,456,within,19,"{'b1': 0.8961361050605774, 'b2': 0.9781784415245056, 'b3': 1.030888557434082}",,,,,
0.897058824,0.972027972,0.817647059,0.888178914,0.927733564,0.182352941,"[[166, 4], [31, 139]]",18.65255737,ATDE,3,42,within,32,"{'b1': 0.8992818593978882, 'b2': 0.9541231393814087, 'b3': 1.033699870109558}",,,,,
0.885294118,0.911949686,0.852941176,0.881458967,0.920813149,0.147058824,"[[156, 14], [25, 145]]",18.83321095,ATDE,3,123,within,30,"{'b1': 0.8970000743865967, 'b2': 1.0052515268325806, 'b3': 1.0129202604293823}",,,,,
0.902941176,0.941935484,0.858823529,0.898461538,0.916764706,0.141176471,"[[161, 9], [24, 146]]",18.99953556,ATDE,3,456,within,29,"{'b1': 0.8957515358924866, 'b2': 0.9963738322257996, 'b3': 1.0349551439285278}",,,,,
0.9,0.909638554,0.888235294,0.898809524,0.930432526,0.111764706,"[[155, 15], [19, 151]]",18.48558903,ATDE,4,42,within,20,"{'b1': 0.894533634185791, 'b2': 0.9467152953147888, 'b3': 1.0280237197875977}",,,,,
0.894117647,0.929487179,0.852941176,0.889570552,0.911989619,0.147058824,"[[159, 11], [25, 145]]",17.43643999,ATDE,4,123,within,26,"{'b1': 0.8997234106063843, 'b2': 1.0240676403045654, 'b3': 1.0144774913787842}",,,,,
0.9,0.953333333,0.841176471,0.89375,0.933321799,0.158823529,"[[163, 7], [27, 143]]",16.17725182,ATDE,4,456,within,20,"{'b1': 0.8968307971954346, 'b2': 0.9830427765846252, 'b3': 1.0325887203216553}",,,,,
0.897058824,0.914110429,0.876470588,0.894894895,0.922647059,0.123529412,"[[156, 14], [21, 149]]",16.50425529,MASTE,0,42,within,37,"{'b1': 0.8691787123680115, 'b2': 1.0297905206680298, 'b3': 1.0310953855514526}",,,,,
0.894117647,0.894117647,0.894117647,0.894117647,0.914480969,0.105882353,"[[152, 18], [18, 152]]",18.13887024,MASTE,0,123,within,43,"{'b1': 0.8715188503265381, 'b2': 1.0098165273666382, 'b3': 1.0129896402359009}",,,,,
0.882352941,0.911392405,0.847058824,0.87804878,0.913235294,0.152941176,"[[156, 14], [26, 144]]",18.88417912,MASTE,0,456,within,23,"{'b1': 0.8776966333389282, 'b2': 1.0323668718338013, 'b3': 1.0295171737670898}",,,,,
0.855882353,0.900662252,0.8,0.847352025,0.902214533,0.2,"[[155, 15], [34, 136]]",20.50893116,MASTE,1,42,within,36,"{'b1': 0.875383198261261, 'b2': 1.014299750328064, 'b3': 1.0254579782485962}",,,,,
0.829411765,0.85,0.8,0.824242424,0.894134948,0.2,"[[146, 24], [34, 136]]",28.02525711,MASTE,1,123,within,20,"{'b1': 0.8774986267089844, 'b2': 0.9420226812362671, 'b3': 1.013366460800171}",,,,,
0.861764706,0.924137931,0.788235294,0.850793651,0.896764706,0.211764706,"[[159, 11], [36, 134]]",20.68568134,MASTE,1,456,within,30,"{'b1': 0.8771888017654419, 'b2': 1.0367101430892944, 'b3': 1.027816653251648}",,,,,
