encoder,thr,sparsity_event,sparsity_noise,sparsity_avg,snr,precision,in_target,step_size,kappa_phi,amp_kappa,alpha,tau_ms,lags
PDE,,0.006948777314973995,0.005711684003472328,0.006330230659223161,1.7438892160297734,0.24439040685538202,True,,1.0,2.0,,,
PDE,,0.028784286170266567,0.0284196138381958,0.028601950004231186,1.1509666174335667,0.19902836704161017,False,,1.5,0.5,,,
PDE,,0.017673036153428256,0.017091698944568634,0.017382367548998447,1.2303738351588125,0.20671322481473908,False,,1.5,0.8,,,
PDE,,0.012476178300566972,0.011778307147324085,0.012127242723945528,1.3068114925922694,0.21319181007100269,True,,1.5,1.0,,,
PDE,,0.004963056689593941,0.004183592740446329,0.004573324715020135,1.6278247247982585,0.2352710681525059,True,,1.5,1.5,,,
PDE,,0.00204670081846416,0.0013650718610733747,0.0017058863397687674,2.1785326681329207,0.2636300165276043,False,,1.5,2.0,,,
PDE,,0.014471523226238786,0.014098906889557838,0.014285215057898312,1.1777186820650587,0.20123062573373318,True,,2.0,0.5,,,
PDE,,0.008070099046453833,0.0075707449577748775,0.007820422002114354,1.2907225636114827,0.21098708042874934,True,,2.0,0.8,,,
PDE,,0.005355963126057759,0.004811250139027834,0.005083606632542797,1.40065571226918,0.21883707852568476,True,,2.0,1.0,,,
PDE,,0.0019054986332776025,0.0013995424378663301,0.0016525205355719663,1.8774033343491943,0.24593130357796325,False,,2.0,1.5,,,
PDE,,0.0007905566936096875,0.00040052938857115805,0.0005955430410904228,2.7229764572311357,0.2849982889799867,False,,2.0,2.0,,,
PDE,,0.008090433755423874,0.007760580629110336,0.007925507192267105,1.2024930606080328,0.20290955665986984,True,,2.5,0.5,,,
PDE,,0.004176789607154206,0.003774709766730666,0.003975749686942436,1.3491110072383867,0.21422553992830218,True,,2.5,0.8,,,
PDE,,0.0026568954909453168,0.0022388389334082603,0.0024478672121767886,1.4929823197732668,0.2230812112148851,False,,2.5,1.0,,,
PDE,,0.0009095389331196202,0.000569924886804074,0.0007397319099618472,2.124402497349404,0.2551680986233987,False,,2.5,1.5,,,
PDE,,0.0004070696725284506,0.00016410178795922548,0.00028558573024383804,3.22321736884119,0.3028636092215311,False,,2.5,2.0,,,
PDE,,0.004981103150639683,0.004696506075561047,0.004838804613100364,1.227991546960652,0.20455984595231713,True,,3.0,0.5,,,
PDE,,0.0024317691274336538,0.00210698414593935,0.002269376636686502,1.405000237291582,0.21682459532748907,False,,3.0,0.8,,,
PDE,,0.0015076775962370448,0.0011864992557093501,0.0013470884259731974,1.5819044491825942,0.22647012768313288,False,,3.0,1.0,,,
PDE,,0.0005233982258141623,0.0002830532903317362,0.00040322575807294925,2.321680495116131,0.26080725743435323,False,,3.0,1.5,,,
PDE,,0.0002540266394953505,8.953551878221333e-05,0.00017178107913878193,3.6174839594225388,0.31476597513916205,False,,3.0,2.0,,,
ATDE,,0.08379738067276776,0.09272906929254532,0.08826322498265654,1.1424267310950256,0.1977148502925411,False,,,,1.5,20.0,
ATDE,,0.08582027311902493,0.09450725466012955,0.09016376388957724,1.1753670772257088,0.20111224323511123,False,,,,1.5,35.0,
ATDE,,0.08609406769741326,0.09458457678556442,0.09033932224148884,1.2142788527668862,0.20475006412249058,False,,,,1.5,50.0,
ATDE,,0.08581435091793538,0.09397315979003906,0.08989375535398722,1.2695954557189024,0.20925380017608405,False,,,,1.5,75.0,
ATDE,,0.08534767418168485,0.09310322999954224,0.08922545209061354,1.2946844829954187,0.21014531241264195,False,,,,1.5,100.0,
ATDE,,0.019898558811983092,0.021638378500938416,0.020768468656460752,1.3784011327050416,0.21492933942005038,False,,,,2.0,20.0,
ATDE,,0.023999023244250565,0.025744151324033737,0.02487158728414215,1.410152704398624,0.21745745065622032,False,,,,2.0,35.0,
ATDE,,0.025766468576621265,0.027423296123743057,0.02659488235018216,1.4624824107273475,0.22032475179061295,False,,,,2.0,50.0,
ATDE,,0.027308883229270577,0.028764665126800537,0.02803677417803556,1.5240077899800466,0.22254892765544354,False,,,,2.0,75.0,
ATDE,,0.028266099805478007,0.02950216829776764,0.028884134051622823,1.5312051434315164,0.21971462575718761,False,,,,2.0,100.0,
ATDE,,0.0029877868859330193,0.0026648836210370064,0.0028263352534850126,2.3579447918983476,0.2523207797994837,False,,,,2.5,20.0,
ATDE,,0.005109313509892672,0.00463419733569026,0.004871755422791466,2.1261737604122923,0.2477222776878625,True,,,,2.5,35.0,
ATDE,,0.006331383186625317,0.005729047115892172,0.0060302151512587445,2.092384698187223,0.24569426894187926,True,,,,2.5,50.0,
ATDE,,0.0076297233579680325,0.0068575916811823845,0.007243657519575208,2.0657288041978976,0.2407862834027037,True,,,,2.5,75.0,
ATDE,,0.00855917349574156,0.007647448685020208,0.008103311090380885,2.0005867058583973,0.2310744497925043,True,,,,2.5,100.0,
ATDE,,0.0004797745914402185,0.0001686680334387347,0.0003242213124394766,5.322924689816554,0.32350803645036647,False,,,,3.0,20.0,
ATDE,,0.0011587499984307215,0.0005591188091784716,0.0008589344038045965,3.973673622319808,0.2967184318159707,False,,,,3.0,35.0,
ATDE,,0.0016867144852585625,0.0009049930959008634,0.0012958537905797128,3.529697209342737,0.28456732991617173,False,,,,3.0,50.0,
ATDE,,0.002362906422931701,0.0013838968006893992,0.0018734016118105502,3.1307413491171734,0.2655946552520618,False,,,,3.0,75.0,
ATDE,,0.0029200819655670783,0.001805666135624051,0.0023628740505955647,2.825453917404561,0.24645228392677382,False,,,,3.0,100.0,
ATDE,,0.00013919398935342996,2.2305328457150608e-05,8.074965890529028e-05,15.332361620019066,0.4518298061052337,False,,,,3.5,20.0,
ATDE,,0.0004396345624127207,8.848702418617904e-05,0.0002640607932994499,6.949200817039104,0.3882072493727901,False,,,,3.5,35.0,
ATDE,,0.0006966495914821281,0.0001700546417851001,0.0004333521166336141,5.680158001507145,0.35274009878747165,False,,,,3.5,50.0,
ATDE,,0.001050303962219914,0.00032789618126116693,0.0006891000717405405,4.627270922120562,0.3118371049501002,False,,,,3.5,75.0,
ATDE,,0.0013564446708915056,0.0005072472849860787,0.0009318459779387922,3.958536044592778,0.2799017167999409,False,,,,3.5,100.0,
MASTE,,0.016253900297451763,0.015990467742085457,0.016122184019768608,1.5762783024344895,0.22684967990033328,False,,,,2.0,,"[1, 3, 8]"
MASTE,,0.0036631488986313345,0.002559877000749111,0.0031115129496902226,2.518444154130921,0.2636837220890447,True,,,,2.5,,"[1, 3, 8]"
MASTE,,0.0011858777335874038,0.0003796072269324213,0.0007827424802599126,4.356357009632545,0.3252875168947503,False,,,,3.0,,"[1, 3, 8]"
MASTE,,0.0005840505471405777,0.00010080942593049258,0.0003424299865355351,7.1502820729908265,0.4140497654286446,False,,,,3.5,,"[1, 3, 8]"
MASTE,,0.014117821047548204,0.013648586347699165,0.013883203697623685,1.5353887512738709,0.22333823171444236,True,,,,2.0,,"[1, 4, 12]"
MASTE,,0.0030504986314917916,0.0020205259788781404,0.002535512305184966,2.4800585425806885,0.26099010664969685,False,,,,2.5,,"[1, 4, 12]"
MASTE,,0.0010103483621423947,0.00028550202841870487,0.0006479251952805498,4.408360709294298,0.3342620793241076,False,,,,3.0,,"[1, 4, 12]"
MASTE,,0.0005271584710226307,8.610656368546188e-05,0.0003066325173540463,8.151956692868945,0.42782039757526946,False,,,,3.5,,"[1, 4, 12]"
MASTE,,0.024858469953760506,0.025782976299524307,0.025320723126642408,1.404386103351913,0.21749395702034235,False,,,,2.0,,"[1, 2, 5]"
MASTE,,0.005774474043864757,0.004903141874819994,0.005338807959342376,2.0255437887408108,0.24581533238757403,True,,,,2.5,,"[1, 2, 5]"
MASTE,,0.001579368172388058,0.0007243749569170177,0.001151871564652538,3.5227698741262556,0.292023871652782,False,,,,3.0,,"[1, 2, 5]"
MASTE,,0.0007005737724284699,0.00014774590090382844,0.0004241598366661492,5.661867562639802,0.3720815182017395,False,,,,3.5,,"[1, 2, 5]"
MASTE,,0.01332924865419045,0.012505977414548397,0.012917613034369424,1.5218146745986685,0.22318437261506915,True,,,,2.0,,"[2, 5, 10]"
MASTE,,0.003015314213116653,0.0018709084251895547,0.0024431113191531037,2.4835766116696867,0.2640296889608726,False,,,,2.5,,"[2, 5, 10]"
MASTE,,0.0010710860693507128,0.000286953552858904,0.0006790198111048084,4.390231339137802,0.3382845706027001,False,,,,3.0,,"[2, 5, 10]"
MASTE,,0.0005814036890433271,9.52766349655576e-05,0.0003383401620044424,7.958398615911136,0.42863033041532617,False,,,,3.5,,"[2, 5, 10]"
SCS-DeltaMod,0.6,0.14990659818053245,0.18168747425079346,0.16579703621566294,1.2092238972969696,0.19929094664636068,False,0.1,,,,,
SCS-DeltaMod,0.6,0.13961762304883452,0.170787051320076,0.15520233718445525,1.2344465110623566,0.20088135569007137,False,0.15,,,,,
SCS-DeltaMod,0.6,0.1324637942877598,0.16243064403533936,0.14744721916154957,1.2396668651460205,0.20130829020927193,False,0.2,,,,,
SCS-DeltaMod,0.7,0.049933729530312124,0.0652284175157547,0.05758107352303341,1.5899941747107698,0.21856804491806542,False,0.1,,,,,
SCS-DeltaMod,0.7,0.045833456239197407,0.06010327488183975,0.05296836556051858,1.6324005106409596,0.22027130867936648,False,0.15,,,,,
SCS-DeltaMod,0.7,0.04969299512216821,0.06490056961774826,0.057296782369958235,1.5893194586256056,0.21855391894932835,False,0.2,,,,,
SCS-DeltaMod,0.75,0.024310802609543315,0.03219467028975487,0.02825273644964909,1.9261357959200367,0.23037153878904065,False,0.1,,,,,
SCS-DeltaMod,0.75,0.023104265729780308,0.030583059415221214,0.02684366257250076,1.9545176207545587,0.23121976409616762,False,0.15,,,,,
SCS-DeltaMod,0.75,0.02327918714086991,0.030834658071398735,0.02705692260613432,1.9438637182210083,0.2308167297617183,False,0.2,,,,,
SCS-DeltaMod,0.8,0.012325618166360073,0.016195932403206825,0.01426077528478345,2.3108146995517416,0.2397434003170929,True,0.1,,,,,
SCS-DeltaMod,0.8,0.012283965157694183,0.016139717772603035,0.01421184146514861,2.3106830057947936,0.23976457389973801,True,0.15,,,,,
SCS-DeltaMod,0.8,0.010245898233843037,0.013384394347667694,0.011815146290755366,2.4561141266745237,0.24274612051071018,True,0.2,,,,,
SCS-DeltaMod,0.85,0.005242155060404912,0.006636775564402342,0.005939465312403627,2.9233864118522934,0.25202332008208034,True,0.1,,,,,
