alpha,lags,min_votes,ws,thr_s,sparsity_event,sparsity_noise,sparsity_avg,sp_ratio,snr,precision,in_target
1.0,"[1, 4, 12]",2,16,0.35,0.21438702525570988,0.25689902901649475,0.2356430271361023,0.8345186281025013,1.521893413346241,0.21675594480337168,False
1.0,"[1, 4, 12]",2,16,0.5,0.10278918049531058,0.13572736084461212,0.11925827066996135,0.7573209989177427,2.224910067276552,0.24033570516156033,False
1.0,"[1, 4, 12]",3,4,0.2,0.022936557393986732,0.02444303035736084,0.023689793875673784,0.9383679952383464,1.635842151176593,0.2329422531714954,False
1.0,"[1, 4, 12]",3,4,0.35,0.009408360670786351,0.010805334895849228,0.01010684778331779,0.8707143981627528,2.061925035587083,0.25040439884964144,True
1.0,"[1, 4, 12]",3,4,0.5,0.0024582479492528363,0.002637189347296953,0.0025477186482748947,0.9321469282334517,2.7207477150262447,0.2712967354620923,False
1.0,"[1, 4, 12]",3,8,0.2,0.031056943328585475,0.03080044500529766,0.030928694166941568,1.0083277473180565,1.5437971347912234,0.22850766574083536,False
1.0,"[1, 4, 12]",3,8,0.35,0.019189241784624757,0.02124117687344551,0.020215209329035134,0.9033982391349528,2.0034519359980716,0.24648705812305707,False
1.0,"[1, 4, 12]",3,8,0.5,0.007065573770087212,0.007424286566674709,0.00724493016838096,0.9516838697744177,2.924768438175261,0.2711943834732665,True
1.0,"[1, 4, 12]",3,16,0.2,0.03410656763240695,0.031972646713256836,0.03303960717283189,1.066742079199384,1.4683272956936815,0.22434400689191533,False
1.0,"[1, 4, 12]",3,16,0.35,0.027332503420766444,0.02917654998600483,0.028254526703385636,0.936796963104859,1.8501205270340955,0.23917946579718774,False
1.0,"[1, 4, 12]",3,16,0.5,0.013839156394824385,0.015460686758160591,0.014649921576492489,0.8951191244800095,2.713590672854615,0.2628075082819123,True
1.0,"[2, 4, 8]",1,4,0.2,0.44796740049961953,0.552838921546936,0.5004031610232778,0.8103036581544071,1.2431399309491524,0.20105074672319462,False
1.0,"[2, 4, 8]",1,4,0.35,0.15085043348139152,0.2068372368812561,0.1788438351813238,0.7293195159438035,1.59107486323672,0.21867648582352558,False
1.0,"[2, 4, 8]",1,4,0.5,0.02967534495226573,0.04223748296499252,0.03595641395862913,0.7025831765794708,2.182463167039198,0.2384675708928262,False
1.0,"[2, 4, 8]",1,8,0.2,0.6461789435893297,0.7442479729652405,0.6952134582772851,0.8682307067828708,1.1767618992034417,0.1966994906423497,False
1.0,"[2, 4, 8]",1,8,0.35,0.35964638023637235,0.4721073508262634,0.41587686553131786,0.7617894099868041,1.4984730756327413,0.21442423758562654,False
1.0,"[2, 4, 8]",1,8,0.5,0.10245231539942325,0.1417354941368103,0.12209390476811677,0.7228416285093067,2.1865173061933727,0.23850893526076106,False
1.0,"[2, 4, 8]",1,16,0.2,0.7128715888038277,0.7767593264579773,0.7448154576309025,0.9177509229976322,1.1263318579613157,0.1929249736055499,False
1.0,"[2, 4, 8]",1,16,0.35,0.5643945657555014,0.7000880241394043,0.6322412949474528,0.806176575366067,1.3782572951372152,0.20779749016684945,False
1.0,"[2, 4, 8]",1,16,0.5,0.24766133497003465,0.3411918878555298,0.2944266114127822,0.7258711117859327,1.9854312024836624,0.23121963901328854,False
1.0,"[2, 4, 8]",2,4,0.2,0.27139139311853794,0.32835596799850464,0.29987368055852126,0.8265157925187273,1.2911521457087158,0.20509448702767258,False
1.0,"[2, 4, 8]",2,4,0.35,0.10173449108377099,0.1371850073337555,0.11945974920876323,0.7415860746084487,1.6543048577825459,0.2225773476046743,False
1.0,"[2, 4, 8]",2,4,0.5,0.021660737697966396,0.030284419655799866,0.02597257867688313,0.7152436118688534,2.2684138037190476,0.24355528949046856,False
1.0,"[2, 4, 8]",2,8,0.2,0.3692487702146173,0.4172854721546173,0.39326712118461726,0.8848828795980682,1.2237095743126387,0.20118211858498397,False
