f1,recall,fnr,fpr,auprc,accuracy,balanced_acc,precision,specificity,auc,mcc,cm,loss,variant,fold,seed,mode,best_epoch,betas
0.914634146,0.882352941,0.117647059,0.047058824,0.92182046,0.917647059,0.917647059,0.949367089,0.952941176,0.937716263,0.837382936,"[[162, 8], [20, 150]]",13.86955547,Full_AMSTE,0,456,ablation,42,"{'b1': 0.864112377166748, 'b2': 1.00477135181427, 'b3': 1.0135672092437744}"
0.916666667,0.905882353,0.094117647,0.070588235,0.916450386,0.917647059,0.917647059,0.927710843,0.929411765,0.940709343,0.835525437,"[[158, 12], [16, 154]]",14.29922009,Full_AMSTE,1,42,ablation,33,"{'b1': 0.862924337387085, 'b2': 1.02139413356781, 'b3': 1.0168298482894897}"
0.902077151,0.894117647,0.105882353,0.088235294,0.893894593,0.902941176,0.902941176,0.910179641,0.911764706,0.92432526,0.806007866,"[[155, 15], [18, 152]]",16.05691004,Full_AMSTE,1,123,ablation,34,"{'b1': 0.8562057018280029, 'b2': 0.9918262958526611, 'b3': 1.0064244270324707}"
0.918429003,0.894117647,0.105882353,0.052941176,0.931660386,0.920588235,0.920588235,0.944099379,0.947058824,0.948598616,0.842357766,"[[161, 9], [18, 152]]",13.86845493,Full_AMSTE,1,456,ablation,35,"{'b1': 0.8509315252304077, 'b2': 1.010384202003479, 'b3': 1.0166054964065552}"
0.903426791,0.852941176,0.147058824,0.035294118,0.927460601,0.908823529,0.908823529,0.960264901,0.964705882,0.940795848,0.822802163,"[[164, 6], [25, 145]]",14.37823343,Full_AMSTE,2,42,ablation,41,"{'b1': 0.8480790257453918, 'b2': 1.0231094360351562, 'b3': 1.018936038017273}"
0.913580247,0.870588235,0.129411765,0.035294118,0.927281824,0.917647059,0.917647059,0.961038961,0.964705882,0.94067474,0.839018452,"[[164, 6], [22, 148]]",14.48557281,Full_AMSTE,2,123,ablation,58,"{'b1': 0.8228952288627625, 'b2': 1.0016919374465942, 'b3': 1.0071251392364502}"
0.904191617,0.888235294,0.111764706,0.076470588,0.901494753,0.905882353,0.905882353,0.920731707,0.923529412,0.92615917,0.812270776,"[[157, 13], [19, 151]]",15.99073219,Full_AMSTE,2,456,ablation,48,"{'b1': 0.8421004414558411, 'b2': 1.0077495574951172, 'b3': 1.0178911685943604}"
0.935294118,0.935294118,0.064705882,0.064705882,0.941521057,0.935294118,0.935294118,0.935294118,0.935294118,0.962041522,0.870588235,"[[159, 11], [11, 159]]",15.49480772,Full_AMSTE,3,42,ablation,32,"{'b1': 0.8679540753364563, 'b2': 0.9938400387763977, 'b3': 1.0139466524124146}"
0.942942943,0.923529412,0.076470588,0.035294118,0.96049453,0.944117647,0.944117647,0.963190184,0.964705882,0.969584775,0.888989255,"[[164, 6], [13, 157]]",15.58427,Full_AMSTE,3,123,ablation,35,"{'b1': 0.8254117369651794, 'b2': 0.986255943775177, 'b3': 1.0131503343582153}"
0.925287356,0.947058824,0.052941176,0.1,0.920603934,0.923529412,0.923529412,0.904494382,0.9,0.945224913,0.847998304,"[[153, 17], [9, 161]]",18.07506847,Full_AMSTE,3,456,ablation,34,"{'b1': 0.8661777377128601, 'b2': 0.9932787418365479, 'b3': 1.0174367427825928}"
0.917933131,0.888235294,0.111764706,0.047058824,0.932736674,0.920588235,0.920588235,0.949685535,0.952941176,0.947387543,0.84294296,"[[162, 8], [19, 151]]",13.98149252,Full_AMSTE,4,42,ablation,42,"{'b1': 0.864199161529541, 'b2': 1.0117889642715454, 'b3': 1.0232360363006592}"
0.921686747,0.9,0.1,0.052941176,0.926227503,0.923529412,0.923529412,0.944444444,0.947058824,0.946262976,0.847998304,"[[161, 9], [17, 153]]",13.04016924,Full_AMSTE,4,123,ablation,51,"{'b1': 0.8124927878379822, 'b2': 1.0085716247558594, 'b3': 1.014272928237915}"
0.914454277,0.911764706,0.088235294,0.082352941,0.907737122,0.914705882,0.914705882,0.917159763,0.917647059,0.936211073,0.829426115,"[[156, 14], [15, 155]]",14.44156313,Full_AMSTE,4,456,ablation,38,"{'b1': 0.8566488027572632, 'b2': 1.013013482093811, 'b3': 1.0208556652069092}"
